0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,230,7,0,132,0,0,129,254,7,143,199,227,121,255,255,0,0,0,0,0,7,48,0,0,0,8,44,0,16,0,18,128,221,182,251,251,15,0,7,254,3,0,128,15,248,48,31,128,135,249,255,255,126,243,247,195,243,255,255,63
33,140,111,6,128,153,56,128,234,7,173,1,70,81,238,247,29,121,6,8,0,0,112,230,1,2,0,156,231,204,63,0,0,0,240,77,255,15,32,128,48,53,153,254,68,15,0,16,0,12,176,0,139,120,235,223,199,227,123,255,52
0,246,7,0,132,0,0,192,255,7,126,222,227,121,255,119,0,0,0,0,0,7,48,0,0,0,152,252,0,114,1,2,128,153,190,255,251,15,0,0,254,255,39,136,221,216,241,31,204,143,255,248,239,255,255,255,103,179,253,223,24
161,31,8,4,128,17,120,191,242,23,143,131,193,48,255,7,1,96,0,8,0,0,112,0,0,2,0,28,132,0,255,254,191,255,23,15,255,143,6,159,63,63,16,134,0,30,0,30,128,7,240,0,127,120,225,195,195,227,123,255,0
161,23,14,4,128,1,120,63,252,231,126,116,56,142,17,184,1,96,0,8,0,0,112,134,8,0,16,28,6,0,255,254,191,221,7,112,255,31,125,228,239,239,247,185,255,195,254,161,127,240,15,255,48,0,0,0,0,16,132,0,63
193,249,9,4,128,17,224,191,224,7,129,143,199,113,238,31,1,96,0,8,0,0,112,0,1,2,0,20,132,0,128,251,255,254,87,0,221,15,128,255,1,52,0,254,0,24,1,126,128,15,240,0,255,127,254,253,255,227,255,255,15
65,25,12,4,0,17,128,70,67,248,128,1,4,0,17,192,1,64,0,8,0,0,64,128,17,2,0,24,190,0,0,153,65,102,200,12,196,96,134,157,16,48,188,39,0,26,224,32,56,0,7,112,192,131,31,62,28,12,0,0,32
154,31,146,251,127,226,167,255,31,165,122,71,1,40,253,24,38,150,251,247,255,255,143,8,98,237,255,35,252,191,32,167,255,253,63,253,64,152,74,42,255,247,43,127,240,244,24,8,0,192,64,159,127,244,209,3,1,208,253,79,15
96,13,14,4,0,17,240,126,159,255,143,8,4,0,16,200,1,96,0,0,0,0,64,0,19,38,0,16,132,0,119,152,11,230,202,92,204,101,238,187,17,49,185,127,64,218,193,64,48,8,6,96,192,7,31,62,28,12,2,0,7
63,8,252,255,249,255,244,23,0,0,165,29,1,34,240,203,255,255,255,239,255,156,253,255,255,99,99,179,255,143,254,191,233,41,0,0,67,16,2,0,52,53,9,126,64,222,63,255,9,1,0,3,2,0,64,196,229,65,254,127,3
225,15,14,4,0,128,188,253,190,247,15,15,4,0,0,248,17,96,0,8,0,0,64,0,1,2,0,0,128,140,127,58,159,206,223,249,157,239,252,243,231,231,243,253,15,193,195,97,112,8,14,192,0,7,28,62,58,28,7,0,62
65,8,2,4,0,0,192,58,0,248,240,131,199,113,238,63,0,224,2,0,0,0,0,128,1,0,0,0,2,0,128,27,226,134,79,0,0,32,128,225,1,0,236,123,255,56,0,254,128,7,240,1,15,248,225,193,195,255,249,255,63
160,23,2,0,128,17,248,255,255,87,175,13,7,129,239,63,30,128,7,240,0,15,64,0,1,2,0,28,134,0,95,255,159,94,251,255,255,207,181,255,175,173,69,144,103,195,1,96,0,8,0,0,80,120,225,195,131,235,123,255,31
160,31,10,4,0,17,248,120,28,229,126,15,1,32,255,31,30,192,7,248,0,15,112,128,1,0,0,16,196,8,63,0,246,171,111,245,0,187,122,232,213,215,235,127,255,244,1,32,0,0,0,0,32,184,225,192,193,253,253,255,3
160,22,0,0,136,17,88,151,235,90,133,140,69,144,255,7,30,128,7,240,0,15,112,0,0,0,0,252,239,0,154,127,237,95,251,107,187,6,21,214,174,173,213,128,7,195,1,102,128,9,16,0,113,250,225,195,195,255,127,255,0
33,224,13,4,128,0,128,193,32,0,112,3,196,129,238,223,1,96,0,0,0,0,48,0,0,0,0,28,2,0,64,139,64,0,88,247,0,32,128,239,1,220,11,122,240,0,0,0,0,8,0,0,176,255,254,253,255,227,253,255,0
33,13,14,6,193,174,55,100,154,254,205,3,193,112,255,207,31,250,135,252,128,15,8,0,0,1,2,226,255,255,60,0,121,208,6,218,160,29,109,180,105,107,183,237,15,30,0,0,0,3,96,0,23,124,240,225,227,243,255,255,11
128,6,2,0,0,0,88,59,224,239,246,0,192,241,255,55,0,160,2,16,0,7,0,128,0,0,0,0,0,0,139,234,190,186,7,1,255,143,248,238,197,255,3,120,255,1,4,30,129,47,240,2,31,120,0,192,195,255,255,255,48
224,255,1,0,0,17,120,191,255,255,248,143,195,240,255,15,0,0,0,0,0,0,0,0,0,2,0,28,134,0,180,170,191,254,87,253,253,15,132,255,37,244,19,254,0,254,1,30,0,0,0,0,255,127,255,255,255,227,123,255,0
32,246,1,0,128,17,56,253,191,23,15,143,199,1,254,7,0,0,0,0,0,0,80,0,0,2,0,28,134,0,64,247,223,253,255,255,251,15,0,5,254,11,28,128,0,245,1,126,128,15,0,0,240,255,255,255,255,227,121,255,8
