0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
96,237,11,4,0,185,244,181,186,214,173,201,229,57,255,3,0,224,0,0,0,0,0,0,51,103,2,50,205,141,188,184,123,238,198,221,220,237,238,187,17,117,139,126,68,30,128,239,224,27,124,192,7,62,255,255,243,255,127,114,3
65,237,223,78,1,250,245,63,64,222,228,249,255,119,128,191,51,243,204,4,0,0,192,72,51,103,70,2,205,157,252,191,27,34,66,68,68,236,234,187,17,17,139,111,212,158,243,255,252,31,255,241,15,51,255,255,255,255,19,96,7
64,237,131,64,115,250,103,26,97,239,240,240,251,255,93,24,0,160,136,4,145,17,137,72,243,231,231,3,252,255,184,136,40,162,66,68,85,175,234,251,17,244,171,127,240,26,224,189,248,23,255,249,143,127,255,255,255,223,3,0,15
24,237,131,66,123,254,103,58,241,239,240,243,251,255,93,24,0,32,136,4,145,145,143,72,243,239,231,35,253,255,56,136,27,226,70,220,213,175,254,250,17,244,251,127,0,30,240,159,252,151,255,249,207,127,255,255,27,220,2,0,15
97,141,221,38,1,187,240,54,201,254,224,1,192,48,255,139,63,243,239,140,0,0,64,12,51,103,2,48,238,9,248,255,27,0,66,204,204,108,230,187,17,49,187,111,196,94,0,12,0,19,113,17,7,176,243,231,199,193,254,255,3
160,255,1,0,64,253,124,58,221,255,240,192,227,249,255,11,0,0,0,0,0,129,8,64,144,33,35,147,255,143,62,200,31,242,71,254,229,47,255,252,217,248,255,3,112,0,144,31,228,135,252,201,79,254,255,255,243,253,127,118,3
67,173,220,69,0,242,1,0,146,252,9,3,237,50,244,203,127,127,140,8,16,0,192,136,243,230,68,32,252,63,0,0,0,102,194,76,204,100,174,251,17,48,184,126,0,10,0,232,152,27,115,49,7,177,247,239,205,197,160,127,11
0,237,3,0,64,250,55,112,24,246,239,193,227,123,255,10,0,0,0,0,0,1,8,0,32,101,231,35,253,223,60,136,26,162,70,212,68,45,234,168,17,241,251,127,240,26,0,31,192,7,248,145,143,124,250,247,247,243,255,111,3
1,237,143,7,0,255,7,196,178,148,15,255,207,115,240,223,17,126,0,8,0,0,240,125,225,195,195,240,253,255,0,138,129,110,212,141,221,8,132,251,49,48,24,255,0,244,243,127,248,15,255,240,143,127,255,255,255,11,2,240,31
64,205,3,8,67,160,181,244,154,214,143,97,122,223,153,48,0,128,0,16,1,17,8,0,34,77,110,2,200,153,60,17,89,68,158,200,136,76,100,187,119,3,145,239,77,30,192,129,112,16,159,241,9,7,62,255,255,31,135,0,52
96,77,3,4,1,248,60,52,154,222,173,9,6,65,217,60,0,0,0,0,0,0,0,64,131,103,3,130,253,207,190,144,61,100,135,236,200,78,118,217,179,179,217,247,2,7,193,89,112,14,207,224,140,103,159,127,63,159,3,0,62
103,253,205,231,65,255,60,2,199,251,16,252,255,123,240,203,17,127,196,143,232,0,240,255,251,227,3,243,255,207,63,138,130,162,208,28,205,13,130,249,17,112,252,127,16,216,243,255,252,159,255,241,135,131,255,255,255,15,0,112,0
1,188,12,0,128,17,32,197,178,4,143,143,64,16,34,225,1,0,0,8,0,0,112,1,0,2,0,52,128,1,24,114,201,92,154,75,185,4,4,151,47,43,149,164,14,223,161,3,232,8,29,208,241,63,122,254,244,32,30,17,0
0,246,1,0,240,239,7,2,197,255,112,130,195,127,238,127,0,0,0,0,0,4,43,216,96,193,194,227,123,255,96,68,0,17,96,18,231,63,123,4,72,248,255,1,255,0,112,30,156,135,243,252,239,255,255,207,15,135,0,255,31
11,240,128,64,176,103,131,192,15,8,160,212,235,123,244,79,0,0,0,0,16,0,247,191,226,196,205,225,56,119,8,23,193,69,184,61,139,16,0,0,246,1,48,190,1,64,120,14,158,195,115,124,255,255,239,135,133,0,48,255,3
64,173,0,68,144,171,165,224,23,164,91,251,255,59,119,3,0,64,128,168,48,0,81,88,97,198,194,96,89,187,32,147,240,180,156,150,73,8,192,45,91,2,254,75,152,52,44,199,219,253,251,182,179,157,112,0,236,115,156,15,33
74,253,137,68,0,242,39,100,151,188,75,87,171,126,244,26,1,70,128,121,187,0,176,93,114,236,236,114,156,59,160,0,241,239,6,136,128,24,70,24,113,114,187,239,136,252,235,95,120,91,255,176,134,255,255,253,255,7,128,70,15
37,252,237,7,128,255,60,70,207,250,128,252,75,115,240,247,57,93,2,200,192,0,240,254,211,1,0,192,255,238,31,4,67,209,170,90,162,117,127,0,106,105,253,173,21,136,195,243,250,5,144,64,9,203,126,121,254,63,75,153,48
33,237,141,4,128,191,229,54,193,222,224,129,224,122,255,131,9,226,195,72,16,0,48,140,48,64,224,243,255,31,216,223,187,117,22,64,235,12,0,148,122,43,189,165,76,94,32,1,0,0,91,176,165,255,255,237,253,19,132,7,8
65,253,204,68,16,251,161,226,21,172,88,159,3,114,244,79,61,86,132,248,177,8,241,216,97,67,64,96,255,191,32,141,112,167,110,196,64,240,110,8,16,82,187,127,208,254,243,62,8,2,0,49,143,161,255,255,207,3,32,255,15
11,12,248,255,127,242,225,45,144,148,75,7,0,96,252,159,255,255,255,255,191,55,187,152,98,196,204,98,216,187,32,131,240,235,29,132,1,8,64,58,245,246,58,95,136,244,16,32,4,128,0,255,95,64,1,3,2,68,209,255,53
3,60,220,97,26,115,129,102,19,152,1,223,195,48,246,207,59,7,198,193,56,157,99,156,115,64,224,112,156,31,0,1,193,73,252,255,0,128,4,18,36,118,18,222,8,244,127,191,159,131,97,63,199,176,227,198,1,128,184,127,11
97,253,8,4,0,255,200,62,195,250,128,216,237,48,119,139,1,96,6,8,0,0,96,128,251,3,0,240,255,79,207,221,117,119,229,174,238,122,127,24,176,184,254,23,0,167,65,111,246,11,122,160,103,191,255,250,233,253,128,119,1
53,207,191,3,103,200,127,62,226,255,15,70,32,254,255,224,239,255,123,7,128,2,184,64,0,5,254,3,245,206,255,86,31,64,2,88,235,79,109,181,255,107,253,173,79,26,0,3,192,16,30,255,15,15,253,251,123,255,141,1,56
90,237,145,106,91,250,229,126,219,252,137,7,0,96,252,31,42,242,223,255,251,191,143,200,50,69,102,34,253,159,112,189,27,96,250,221,192,244,238,152,49,49,187,239,68,94,0,8,0,0,66,253,207,253,255,239,171,213,160,111,15
97,253,9,4,1,251,244,126,223,255,176,200,231,249,255,11,0,96,0,8,0,0,64,196,49,99,34,186,255,13,124,153,91,230,206,220,204,109,238,187,81,81,185,111,208,26,224,101,124,9,47,240,194,247,255,255,191,76,18,34,39
224,237,11,6,1,249,188,237,182,53,31,74,167,105,221,218,1,80,0,8,0,0,64,84,247,239,131,114,253,175,53,184,59,238,198,221,220,253,238,187,119,117,33,126,81,216,193,95,240,15,254,224,135,127,255,255,255,255,55,96,11
192,205,3,76,1,168,247,127,0,232,126,140,67,209,239,39,0,192,143,255,247,5,8,128,0,1,0,34,123,255,188,205,250,251,78,210,0,49,235,164,65,255,191,105,221,216,135,55,160,4,144,64,9,94,120,249,255,255,95,153,48
60,127,0,195,253,239,191,114,95,250,240,253,67,248,255,1,0,28,0,95,252,133,47,252,248,225,247,251,255,255,31,213,92,181,239,254,34,112,127,0,250,155,252,1,240,199,219,63,128,1,16,165,3,156,255,225,248,255,157,51,0
192,241,0,96,188,119,129,209,43,66,164,172,71,193,238,55,0,0,128,240,88,255,79,136,33,66,64,252,189,95,8,105,192,255,254,223,36,224,225,175,1,12,7,0,221,158,240,122,188,135,135,120,255,251,239,223,3,2,65,248,60
129,162,109,5,128,69,74,167,243,157,73,19,143,99,200,255,255,127,6,8,0,0,240,178,1,2,0,64,50,98,199,125,21,17,225,171,190,250,95,0,172,174,70,145,170,37,32,116,40,15,165,80,202,114,207,159,151,67,115,250,55
